TIMESTAMP,TEMPERATURE,DUST,HUMIDITY,PRESSURE
1576411200925,23.3,3,41,980
1576414800991,23.6,12,50,980
1576418400893,23.5,10,46,980
1576422000848,23.4,5,44,980
1576425601085,23.5,12,44,981
1576429201023,23.5,9,45,982
1576432800802,23.4,10,46,982
1576436401479,23.5,8,46,982
1576440001350,23.6,12,46,984
1576443601022,23.6,15,46,985
1576447200847,23.7,16,51,986
1576450801332,23.5,13,47,986
1576454400788,23.4,12,46,986
1576458000945,23.4,10,45,987
1576461601390,23.4,10,45,988
1576465201086,23.3,7,44,988
1576468801148,23.3,9,44,989
1576472401056,23.2,10,44,989
1576476000869,23.4,11,45,989
1576479600975,23.3,16,47,990
1576483200566,23.3,13,45,990
1576486800475,23.4,16,44,990
1576490401284,23.4,19,43,990
1576494000799,23.6,22,43,989
1576497600866,23.7,19,45,988
1576501201058,23.6,18,44,988
1576504800524,23.6,30,45,988
1576508400550,23.6,24,44,988
1576512000886,23.6,17,43,987
1576515601463,23.6,20,45,987
1576519201140,23.7,24,43,988
1576522801231,23.8,27,43,987
1576526401005,23.8,26,43,987
1576530000800,23.7,29,43,986
1576533600815,23.6,46,43,986
1576537200995,23.4,47,43,986
1576540800806,23.3,49,42,986
1576544401012,23.2,52,42,986
1576548000800,23.2,48,41,986
1576551601061,23.2,56,41,986
1576555200469,23.1,52,41,985
1576558800499,23,50,40,985
1576562400851,23,50,40,985
1576566000913,23.2,49,41,985
1576569601175,23.3,40,40,986
1576573201080,23.2,41,41,986
1576576800488,23.3,44,41,986
1576580400486,23.3,48,42,985
1576584000676,23.4,49,44,985
1576587600520,23.4,42,43,985
1576591200412,23.4,48,43,985
1576594800883,23.4,53,43,986
1576598400989,23.3,50,43,986
1576602000756,23.4,44,43,986
1576605600847,23.3,51,42,987
1576609200838,23.4,64,42,987
1576612800864,23.3,65,42,987
1576616400821,23.2,70,42,987
1576620000867,23.1,74,42,987
1576623601315,22.9,86,46,987
1576627200790,22.9,78,46,987
1576630800586,23.2,59,46,987
1576634401000,23.1,47,46,987
1576638000948,23.1,62,45,987
1576641601365,23.1,71,45,988
1576645200740,23,66,44,988
1576648800941,23,65,46,988
1576652400685,23.2,54,49,989
1576656001139,23.4,66,48,990
1576659600804,23.6,47,46,991
1576663200913,23.7,42,45,991
1576666800593,23.7,37,44,991
1576670400622,23.7,35,44,991
1576674000885,23.8,31,44,992
1576677601001,23.7,29,44,993
1576681200570,23.6,25,44,993
1576684800736,23.8,22,44,993
1576688401103,23.8,25,44,994
1576692000931,23.8,24,45,995
1576695601046,24,29,45,995
1576699201006,23.9,35,45,996
1576702800487,23.9,33,45,997
1576706400477,23.8,40,44,997
1576710000779,23.7,39,44,997
1576713600887,23.7,47,44,997
1576717201107,23.7,50,43,998
1576720800664,23.7,57,43,997
1576724400882,23.6,55,42,997
